id,name,sex,age,height,weight,country,year,season,sport,event,medal,athletes,totalmedals,topathletes
21,Ragnhild Margrethe Aamodt,F,27,163.0,72.0,Norway,2008,Summer,Handball,Handball Women's Handball,Gold,932,1,1
62,Giovanni Abagnale,M,21,198.0,90.0,Italy,2016,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze,1054,1,0
63,Jos Luis Abajo Gmez,M,30,194.0,87.0,Spain,2008,Summer,Fencing,"Fencing Men's epee, Individual",Bronze,1116,1,0
65,Patimat Abakarova,F,21,165.0,49.0,Azerbaijan,2016,Summer,Taekwondo,Taekwondo Women's Flyweight,Bronze,969,1,0
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179.0,80.0,Russia,2008,Summer,Athletics,Athletics Women's Javelin Throw,Silver,932,1,0
72,Aleksey Aleksandrovich Abalmasov,M,28,180.0,83.0,Belarus,2008,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,1116,1,1
73,Luc Abalo,M,23,182.0,86.0,France,2008,Summer,Handball,Handball Men's Handball,Gold,1116,1,2
73,Luc Abalo,M,27,182.0,86.0,France,2012,Summer,Handball,Handball Men's Handball,Gold,1023,1,2
73,Luc Abalo,M,31,182.0,86.0,France,2016,Summer,Handball,Handball Men's Handball,Silver,1054,1,2
76,Jouan Patrice Abanda Etong,M,22,185.0,82.0,Cameroon,2000,Summer,Football,Football Men's Football,Gold,1124,1,1
84,Stephen Anthony Abas,M,26,165.0,55.0,United States,2004,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,1103,1,0
90,Tamila Rashidovna Abasova,F,21,163.0,60.0,Russia,2004,Summer,Cycling,Cycling Women's Sprint,Silver,898,1,0
93,Jol Marc Abati,M,38,190.0,85.0,France,2008,Summer,Handball,Handball Men's Handball,Gold,1116,1,1
106,Agostino Abbagnale,M,34,188.0,96.0,Italy,2000,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold,1124,1,1
143,"Desmond ""Des"" Abbott",M,21,184.0,87.0,Australia,2008,Summer,Hockey,Hockey Men's Hockey,Bronze,1116,1,0
153,Monica Cecilia Abbott,F,23,191.0,88.0,United States,2008,Summer,Softball,Softball Women's Softball,Silver,932,1,0
